,Country_ID,Country_Name,Young_Adults,Active_Workers,Total_Population
0,1,Austria,926726,4977314,5904040
1,2,Belgium,1322070,6097025,7419095
2,3,Bulgaria,617861,3760458,4378319
3,4,Croatia,425323,2168761,2594084
4,5,Cyprus,134010,731175,865185
5,6,Czechia,965478,5713523,6679001
6,7,Denmark,717438,3003875,3721313
7,8,Estonia,128378,710820,839198
8,9,Finland,607379,2807206,3414585
9,10,France,7589239,31970710,39559949
10,11,Germany,8442062,44903092,53345154
11,12,Greece,1106204,5519467,6625671
12,13,Hungary,1007206,5306743,6313949
13,15,Ireland,640989,2613106,3254095
14,16,Italy,5799731,31917280,37717011
15,17,Latvia,175989,1000057,1176046
16,18,Lithuania,271607,1518186,1789793
17,19,Luxembourg,71817,371498,443315
18,20,Malta,52601,305582,358183
19,21,Netherlands,2140725,9155907,11296632
20,23,Poland,3753336,21451020,25204356
21,24,Portugal,1100932,5494620,6595552
22,25,Romania,2054027,10519121,12573148
23,26,Slovakia,545733,3098206,3643939
24,27,Slovenia,201332,1161672,1363004
25,28,Spain,4886323,26450400,31336723
26,29,Sweden,1176116,5332498,6508614
